# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age
108   J0355+28      0.094300 0.0e+00      NaN       0    1.789    NaN
109   J0357+3205    0.444104 6.0e-10 1.30e-14 2.0e-17    0.835 5.40e+05
110   B0353+52      0.197030 3.0e-13 4.77e-16 3.0e-21    3.571 6.55e+06

111   J0358+4155    0.226484 3.0e-13 1.46e-16 1.6e-19    1.481 2.46e+07
112   B0355+54      0.156384 8.0e-12 4.39e-15 5.0e-20    1.000 5.64e+05
113   J0358+6627    0.091506 1.7e-13 1.09e-17 9.0e-20    1.884 1.33e+08
114   J0359+5414    0.079427 1.3e-12 1.67e-14 7.0e-20      NaN 7.52e+04
115   B0403-76      0.545254 3.0e-11 1.54e-15 1.2e-19    1.014 5.60e+06

116   J0402+4825    0.512194 3.0e-12 2.75e-16 6.0e-19    1.849 2.95e+07
117   B0402+61      0.594576 8.0e-13 5.57e-15 3.0e-20    4.545 1.69e+06
118   J0408+551     1.837000       0      NaN       0    1.573    NaN
119   J0408+552     0.754000       0      NaN       0    1.661    NaN
120   J0410-31      1.878500 2.0e-04      NaN       0    0.415    NaN

121   J0413+58      0.687000       0      NaN       0    1.630    NaN
122   J0414+31      1.081000 0.0e+00      NaN       0    1.842    NaN
123   B0410+69      0.390715 3.0e-13 7.66e-17 3.0e-21    1.368 8.08e+07
124   J0417+35      0.654400 3.0e-05      NaN       0    1.480    NaN
125   J0417+61      0.440283 1.3e-05      NaN       0    1.837    NaN

126   J0418-4154    0.757119 1.2e-11 1.32e-15 4.0e-20    2.519 9.09e+06
127   J0418+5732    9.078388 5.0e-08 4.10e-15 1.0e-16      NaN 3.51e+07
128   J0419+44      1.241000       0      NaN       0    1.687    NaN
129   J0420-5022    3.453004 1.2e-08 2.76e-14 1.0e-16      NaN 1.98e+06
130   J0421-0345    2.161308 1.5e-11 1.16e-15 1.5e-19    2.196 2.94e+07

131   J0421+3255    0.900105 1.0e-09 6.00e-17 2.0e-17    1.939 2.38e+08
132   J0426+4933    0.922475 2.0e-12 3.93e-14 2.0e-19    1.795 3.71e+05
133   J0435+2749    0.326279 1.4e-12 8.17e-18 1.1e-19    1.521 6.33e+08
134   J0447-04      2.188190 2.0e-05      NaN       0    0.675    NaN
135   J0448-2749    0.450448 1.7e-12 1.48e-16 1.9e-20    1.809 4.81e+07

136   J0449-7031    0.479164 1.4e-11 3.37e-15 4.0e-18   49.700 2.25e+06
137   B0447-12      0.438014 8.0e-13 1.03e-16 6.0e-21    1.774 6.76e+07
