# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age

1421  J1749-5417    0.307577 6.0e-12 1.50e-16 7.0e-19    3.279 3.26e+07
1422  B1745-56      1.332310 7.0e-10 2.12e-15 3.0e-17    2.493 9.96e+06
1423  J1749+5952    0.436041 2.0e-12 1.52e-16 4.0e-19   25.000 4.55e+07
1424  J1750+07      1.908810       0      NaN       0    3.751    NaN
1425  J1750-2043    5.639047 3.0e-09 7.95e-15 1.6e-15    8.840 1.12e+07

1426  J1750-2438    0.712794 1.0e-11 1.08e-14 3.0e-18   12.845 1.05e+06
1427  J1750-2444    0.899377 5.0e-11 2.64e-16 3.0e-18    4.858 5.40e+07
1428  J1750-2536    0.034749 8.0e-09      NaN       0    3.227    NaN
1429  J1750-28      1.300513 7.0e-10 5.78e-15 1.9e-19    4.069 3.56e+06
1430  B1747-31      0.910363 5.0e-12 1.97e-16 4.0e-20    4.338 7.34e+07

1431  J1750-3503    0.684014 3.0e-11 3.81e-17 4.0e-19    5.864 2.84e+08
1432  J1750-3703A   0.111601 4.0e-13 5.66e-18 8.0e-21   12.730 3.12e+08
1433  J1751-2516    0.394836 1.0e-10 2.64e-15 3.0e-18    5.180 2.37e+06
1434  J1751-3323    0.548227 7.0e-11 8.83e-15 7.0e-18   14.283 9.84e+05
1435  B1747-46      0.742354 6.0e-13 1.30e-15 6.0e-20    0.739 9.06e+06

1436  J1752+2359    0.409051 9.0e-12 6.43e-16 9.0e-19    3.030 1.01e+07
1437  J1752-2410    0.191037 1.9e-12 6.18e-16 8.0e-20   12.399 4.90e+06
1438  B1749-28      0.562558 3.0e-11 8.13e-15 1.0e-19    0.200 1.10e+06
1439  J1752-2821    0.640229 4.0e-11 3.47e-15 1.7e-17    5.436 2.93e+06
1440  J1753-12      0.405454 1.0e-06      NaN       0    1.123    NaN

1441  J1753-1914    0.062955 1.2e-12 2.02e-18 1.2e-19    2.915 4.93e+08
1442  J1753-2240    0.095138 7.0e-13 9.70e-19 1.2e-19    3.232 1.55e+09
1443  B1750-24      0.528336 3.0e-11 1.41e-14 1.7e-19    5.309 5.93e+05
1444  J1753-28      0.085859 2.0e-08      NaN       0    0.693    NaN
1445  J1753-38      0.666804       0      NaN       0    8.815    NaN

1446  J1754-2422    2.090248 4.0e-10 8.30e-16 2.0e-17   11.097 3.99e+07
1447  J1754-3014    1.320490 3.0e-10 4.43e-15 1.9e-17    2.520 4.72e+06
1448  J1754-3443    0.361691 1.0e-11 5.71e-16 7.0e-19    7.197 1.00e+07
1449  J1754-3510    0.392704 3.0e-12 7.82e-16 5.0e-19    2.556 7.96e+06
1450  B1753+52      2.391397 3.0e-11 1.56e-15 3.0e-19    6.250 2.42e+07

1451  J1755-0903    0.190710 4.0e-12 7.81e-16 3.0e-19    0.235 3.87e+06
1452  J1755-1650    0.733744 3.0e-11 6.86e-16 3.0e-18    4.618 1.69e+07
1453  J1755-2025    0.322231 5.0e-12 4.42e-15 6.0e-19   15.975 1.15e+06
1454  J1755-2521    1.175968 5.0e-10 9.02e-14 1.7e-17    3.444 2.07e+05
1455  J1755-25211   1.004513 7.0e-11 3.12e-14 1.3e-18    5.055 5.10e+05

1456  J1755-2534    0.233541 9.0e-12 1.12e-14 9.0e-19    4.399 3.30e+05
1457  J1755-2550    0.315196 1.6e-12 2.43e-15 1.4e-18    4.891 2.05e+06
1458  J1755-26      0.430872 1.4e-10 1.23e-14 5.0e-21    3.946 5.56e+05
1459  J1755-2725    0.261955 5.0e-11 1.37e-17 9.0e-18    2.704 3.02e+08
1460  J1755-33      0.959466 4.0e-06      NaN       0   14.084    NaN

1461  J1756+1822    0.744001 7.0e-11 5.13e-16 1.7e-18   25.000 2.30e+07
1462  J1756-2225    0.404980 9.0e-11 5.27e-14 5.0e-18    4.779 1.22e+05
1463  B1753-24      0.670480 1.4e-12 2.85e-16 9.0e-21    3.834 3.73e+07
1464  J1756-25      0.855986 2.0e-06      NaN       0    4.768    NaN
1465  J1756-2619    0.724514 1.1e-10 1.24e-15 6.0e-18    5.112 9.27e+06

1466  J1757-1500    0.179354 1.3e-11 1.50e-15 4.0e-19    4.222 1.89e+06
1467  J1757-16      0.451273 1.0e-06      NaN       0    3.367    NaN
1468  J1757-2223    0.185310 1.1e-12 7.82e-16 3.0e-19    3.727 3.75e+06
1469  B1754-24      0.234106 5.0e-11 1.30e-14 1.7e-18    3.124 2.85e+05
1470  J1758-1931    0.692552 7.0e-11 1.69e-14 3.0e-17    4.544 6.49e+05

1471  J1758-2206    0.430278 1.5e-11 9.56e-16 4.0e-18   15.065 7.13e+06
1472  J1758-2540    2.107263 4.0e-10 1.55e-15 1.4e-16    3.410 2.15e+07
1473  J1758-2630    1.202893 1.8e-10 5.17e-15 8.0e-17    4.350 3.69e+06
1474  J1758-2846    0.766706 3.0e-11 9.41e-17 1.8e-17    2.006 1.29e+08
1475  J1758+3030    0.947256 8.0e-11 7.20e-16 1.0e-17    3.279 2.08e+07

1476  J1759-1029    2.512263 5.0e-10 1.57e-14 2.0e-17    2.519 2.53e+06
1477  J1759-1736    0.798452 8.0e-11 2.55e-16 2.0e-17    4.917 4.96e+07
1478  J1759-1903    0.731505 1.7e-10 3.07e-15 7.0e-17   21.806 3.78e+06
1479  J1759-1940    0.254720 7.0e-12 9.34e-17 2.0e-18    7.987 4.32e+07
1480  J1759-1956    2.843389 3.0e-10 1.86e-14 5.0e-17    4.620 2.43e+06

1481  B1756-22      0.460982 5.0e-12 1.09e-14 1.5e-19    3.256 6.73e+05
1482  J1759-2302    0.810718 1.2e-10 1.07e-14 1.2e-17    5.782 1.20e+06
1483  J1759-2307    0.558889 3.0e-11 3.76e-15 3.0e-18    5.345 2.35e+06
1484  J1759-24      1.457739 1.1e-05      NaN       0    4.870    NaN
1485  J1759-2549    0.956549 1.1e-10 9.96e-14 1.3e-17    4.842 1.52e+05

1486  J1759-2922    0.574400 3.0e-12 4.63e-15 3.0e-20    2.417 1.97e+06
1487  J1759-3107    1.078955 4.0e-12 3.77e-15 1.1e-19    3.100 4.53e+06
1488  J1759+5036    0.176016 8.0e-14 2.43e-19 3.0e-21    0.543 1.15e+10
1489  J1759-5505    0.373392 2.0e-10 4.39e-16 2.0e-18    3.096 1.35e+07
1490  J1800-0125    0.783185 3.0e-11 1.15e-14 5.0e-18    1.529 1.08e+06

1491  J1800-2114    1.799272 7.0e-10 5.50e-16 2.6e-16   16.114 5.18e+07
1492  B1757-23      1.030820 2.0e-05      NaN       0    3.559    NaN
1493  J1800+5034    0.578375 1.1e-11 1.17e-16 7.0e-18    1.937 7.83e+07
1494  B1758-03      0.921493 4.0e-11 3.31e-15 9.0e-20    5.739 4.42e+06
1495  J1801-0857G   0.051591 3.0e-11 7.99e-20 6.0e-21    9.230 1.02e+10

1496  J1801-1855    2.550498 1.0e-09 1.82e-16 2.2e-16   20.072 2.22e+08
1497  J1801-1909    1.108725 5.0e-11 7.03e-16 9.0e-18    4.897 2.50e+07
1498  J1801-2115    0.438113 4.0e-10 1.55e-17 6.0e-18   14.873 4.46e+08
1499  J1801-2154    0.375302 1.6e-11 1.60e-14 3.0e-18    4.132 3.71e+05
1500  B1758-23      0.415827 1.8e-12 1.13e-13 1.1e-19    4.000 5.83e+04

1501  B1757-24      0.124924 8.0e-12 1.28e-13 5.0e-19    3.803 1.55e+04
1502  B1758-29      1.081910 1.2e-12 3.29e-15 4.0e-20    3.013 5.21e+06
1503  J1801-3458    1.385604 3.0e-10 3.97e-16 4.0e-17    5.915 5.52e+07
1504  J1802+0128    0.554262 1.0e-11 2.11e-15 3.0e-18    7.681 4.16e+06
1505  J1802+03      0.664300       0      NaN       0    5.099    NaN

1506  J1802-0523    1.680573 9.0e-11 2.65e-15 3.0e-18    4.070 1.01e+07
1507  J1802-1745    0.514671 3.0e-11 5.64e-16 1.1e-17    6.596 1.45e+07
1508  J1802-2426    0.569007 3.0e-11 8.56e-15 7.0e-18   12.876 1.05e+06
1509  J1802-3346    2.461052 3.0e-09 1.32e-15 9.0e-17   13.672 2.95e+07
1510  J1803-1616    0.536596 1.8e-11 1.77e-15 1.2e-18   19.035 4.80e+06

1511  J1803-1857    2.864338 1.3e-10 1.52e-14 4.0e-17   10.784 2.99e+06
1512  J1803-1920    0.443649 1.6e-11 3.30e-16 8.0e-19   12.534 2.13e+07
1513  B1800-21      0.133667 1.7e-13 1.34e-13 1.7e-20    4.400 1.58e+04
1514  J1803-2149    0.106332 3.0e-12 1.95e-14 7.0e-20      NaN 8.63e+04
1515  B1800-27      0.334415 3.0e-12 1.71e-17 1.3e-20    3.466 3.10e+08

1516  J1803-3329    0.633412 4.0e-12 3.37e-16 2.0e-19    7.811 2.98e+07
1517  J1804-2228    0.570511 1.0e-10 1.43e-16 1.0e-17    4.054 6.31e+07
1518  J1804-28      1.273011 9.0e-06      NaN       0    5.469    NaN
1519  B1802+03      0.218712 1.5e-12 9.99e-16 7.0e-21    5.255 3.47e+06
1520  J1805-0619    0.454651 7.0e-12 9.69e-16 1.3e-18    5.429 7.43e+06

1521  J1805-1504    1.181269 3.0e-10 2.73e-16 3.0e-17    5.409 6.84e+07
1522  J1805-2032    0.405769 5.0e-11 8.39e-15 7.0e-18    6.694 7.66e+05
1523  J1805-2037    0.357807 1.3e-11 1.76e-15 1.6e-18    4.983 3.23e+06
1524  J1805-2447    0.661402 1.4e-11 5.82e-18 7.0e-19    4.576 1.80e+09
1525  J1805-2948    0.428341 2.0e-10 4.74e-16 5.0e-18    4.589 1.43e+07

1526  J1806+1023    0.484286 2.0e-12 5.73e-17 4.0e-20    2.954 1.34e+08
1527  B1804-12      0.522618 4.0e-12 1.41e-15 3.0e-20    3.005 5.88e+06
1528  J1806-1618    0.668309 5.0e-11 8.62e-16 3.0e-18   10.156 1.23e+07
1529  J1806-1920    0.879791 7.0e-10 1.70e-17 2.1e-17   12.793 8.19e+08
1530  J1806-2125    0.481825 4.0e-09 1.18e-13 5.0e-18    4.886 6.47e+04

1531  J1807+04      0.798900       0      NaN       0    2.390    NaN
1532  J1807+0756    0.464300 2.0e-12 1.29e-16 2.0e-19    7.935 5.69e+07
1533  B1804-08      0.163727 9.0e-14 2.88e-17 4.0e-22    1.500 9.01e+07
1534  J1807-2557    2.764195 4.0e-11 4.99e-15 2.0e-18   18.556 8.77e+06
1535  B1804-27      0.827776 9.0e-12 1.22e-14 7.0e-20   15.364 1.08e+06

1536  J1808+00      0.425115 3.0e-06      NaN       0   25.000    NaN
1537  J1808-0813    0.876044 6.0e-12 1.24e-15 6.0e-20    3.972 1.12e+07
1538  J1808-1020    0.596993 4.0e-12 7.72e-16 4.0e-19    8.076 1.22e+07
1539  J1808-1517    0.544549 8.0e-12 2.67e-15 5.0e-19    4.306 3.23e+06
1540  J1808-1726    0.241035 9.0e-11 1.16e-17 1.2e-17   14.163 3.29e+08

1541  J1808-2024    7.555920 5.0e-05 5.49e-10 9.0e-12   13.000 2.18e+02
1542  B1805-20      0.918410 1.1e-11 1.71e-14 9.0e-20    4.582 8.52e+05
1543  J1808-2701    2.457882 1.2e-10 6.58e-14 1.1e-17    2.706 5.92e+05
1544  J1808-3249    0.364912 1.0e-11 7.05e-15 1.0e-18    6.269 8.20e+05
1545  J1809-0119    0.744976 3.0e-10 2.29e-15 2.0e-17   10.737 5.15e+06

1546  J1809-0743    0.313886 5.0e-12 1.52e-16 9.0e-19   13.999 3.27e+07
1547  J1809-1429    0.895285 1.3e-11 5.24e-15 4.0e-18   17.153 2.71e+06
1548  J1809+17      2.066700       0      NaN       0    3.152    NaN
1549  J1809-1850    1.124481 1.7e-10 1.06e-14 8.0e-18    4.667 1.68e+06
1550  J1809-1917    0.082755 6.0e-12 2.55e-14 1.4e-19    3.268 5.14e+04

1551  J1809-1943    5.540743 2.0e-08 2.83e-12 1.1e-15    3.600 3.10e+04
1552  J1809-2004    0.434811 1.6e-10 7.28e-15 6.0e-17    5.228 9.46e+05
1553  B1806-21      0.702414 4.0e-12 3.82e-15 3.0e-20    4.119 2.91e+06
1554  J1809-2332    0.146789 7.0e-12 3.44e-14 3.0e-19    0.880 6.76e+04
1555  J1809-3547    0.860388 7.0e-10 1.20e-16 1.0e-17   22.564 1.14e+08

1556  J1810+0705    0.307683 1.0e-11 2.42e-16 4.0e-18    5.456 2.01e+07
1557  J1810-1441    0.217214 4.0e-12 2.39e-17 1.9e-19    6.755 1.44e+08
1558  J1810-1709    1.161133 7.0e-11 3.33e-16 6.0e-20   14.518 5.52e+07
1559  J1810-1820    0.153716 8.0e-12 5.22e-17 3.0e-18    4.237 4.66e+07
1560  J1810-2005    0.032822 8.0e-15 1.47e-19 1.2e-22    3.513 3.53e+09

1561  B1806-53      0.261050 3.0e-11 3.86e-16 7.0e-21    1.647 1.07e+07
1562  J1811-0154    0.924945 4.0e-11 1.61e-15 6.0e-18   11.112 9.11e+06
1563  J1811+0702    0.461713 3.0e-11 2.69e-15 1.0e-18    2.965 2.72e+06
1564  J1811-1049    2.623859 3.0e-10 8.00e-16 2.0e-16    8.667 5.20e+07
1565  J1811-1717    0.391385 9.0e-11 1.20e-16 8.0e-19    5.184 5.17e+07

1566  J1811-1736    0.104182 4.0e-13 9.01e-19 5.0e-21    4.419 1.83e+09
1567  J1811-1835    0.557464 1.0e-10 6.31e-15 1.3e-17    4.933 1.40e+06
1568  J1811-1925    0.064667 2.0e-08 4.40e-14 4.0e-16    5.000 2.33e+04
1569  J1811-2439    0.415813 1.1e-11 2.97e-16 1.1e-18    3.756 2.22e+07
1570  J1811-4930    1.432704 1.0e-10 2.25e-15 5.0e-18    1.447 1.01e+07

1571  B1810+02      0.793903 3.0e-12 3.60e-15 3.0e-20    7.197 3.49e+06
1572  J1812-15      1.014529 3.0e-06      NaN       0   10.041    NaN
1573  B1809-173     1.205374 9.0e-11 1.91e-14 1.5e-17    3.661 1.00e+06
1574  B1809-176     0.538341 9.0e-12 9.82e-16 5.0e-20    4.492 8.68e+06
1575  J1812-1910    0.430991 6.0e-11 3.77e-14 3.0e-17    5.922 1.81e+05

1576  J1812-20      1.903112 5.0e-10 2.40e-16 3.0e-19   11.219 1.26e+08
1577  J1812-2102    1.223352 9.0e-11 2.39e-14 9.0e-18   14.440 8.11e+05
1578  J1812-2526    0.315835 8.0e-12 1.77e-16 9.0e-19   22.244 2.82e+07
1579  J1812-2748    0.236983 9.0e-12 3.16e-16 4.0e-19    2.941 1.19e+07
1580  J1812-3039    0.587477 2.0e-11 6.60e-16 8.0e-19    5.474 1.41e+07

1581  J1813-1246    0.048072 7.0e-12 1.76e-14 3.0e-19    2.635 4.34e+04
1582  J1813-1749    0.044741 4.0e-11 1.27e-13 9.0e-18    6.147 5.58e+03
1583  J1813+1822    0.336425 9.0e-10 2.10e-17 8.0e-18    4.989 2.54e+08
1584  J1813-2113    0.426466 1.3e-11 2.08e-15 6.0e-18   14.968 3.25e+06
1585  J1813-2242    0.328514 1.5e-11 4.78e-17 6.0e-19   12.474 1.09e+08

1586  B1811+40      0.931089 3.0e-12 2.55e-15 3.0e-20    4.917 5.79e+06
1587  J1814-0521    1.014219 6.0e-11 8.84e-16 3.0e-18    4.211 1.82e+07
1588  J1814-0618    1.377868 1.4e-10 2.92e-16 1.6e-17    5.990 7.47e+07
1589  J1814+1130    0.751261 3.0e-12 1.66e-15 8.0e-20    4.151 7.17e+06
1590  J1814-1649    0.957464 7.0e-11 6.33e-15 7.0e-18    5.205 2.40e+06

1591  J1814-1744    3.975905 1.6e-08 7.45e-13 4.0e-16    5.118 8.46e+04
1592  J1814+22      0.253700       0      NaN       0    6.461    NaN
1593  J1815-1738    0.198457 4.0e-12 7.78e-14 5.0e-19    4.887 4.04e+04
1594  J1815-1910    1.249924 8.0e-11 3.63e-14 3.0e-17    6.139 5.46e+05
1595  J1815+5546    0.426844 4.0e-11 9.47e-17 1.5e-17   25.000 7.14e+07

1596  J1816-0755    0.217643 1.5e-12 6.48e-15 1.5e-19    3.152 5.32e+05
1597  J1816-1446    0.594500 1.8e-11 1.33e-15 1.1e-18   10.097 7.10e+06
1598  B1813-17      0.782313 4.0e-11 7.26e-15 3.0e-19    4.432 1.71e+06
1599  B1813-26      0.592885 1.1e-11 6.65e-17 4.0e-20    3.591 1.41e+08
1600  J1816-5643    0.217923 1.3e-12 1.93e-18 6.0e-20    2.580 1.79e+09

1601  J1817-0743    0.438095 1.8e-11 -2.30e-18 8.3e-18    0.195    NaN
1602  J1817-1511    0.224604 1.6e-11 1.43e-15 9.0e-19    7.341 2.49e+06
1603  J1817-1742    0.149744 1.6e-12 2.06e-14 9.0e-20      NaN 1.15e+05
1604  J1817-1938    2.046838 2.0e-10 3.60e-16 9.0e-17   17.002 9.01e+07
1605  B1814-23      0.625470 2.0e-05      NaN       0    7.934    NaN

1606  B1813-36      0.387019 1.5e-12 2.02e-15 1.5e-19    4.383 3.03e+06
1607  J1817-3837    0.384487 2.0e-11 5.80e-16 6.0e-19    6.086 1.05e+07
1608  J1818-0151    0.837535 1.1e-11 9.11e-15 5.0e-19   19.138 1.46e+06
1609  J1818-1116    0.544800 5.0e-11 3.82e-15 6.0e-18   13.007 2.26e+06
1610  B1815-14      0.291489 4.0e-13 2.04e-15 1.7e-20    5.440 2.27e+06

1611  J1818-1448    0.281371 6.0e-11 6.15e-15 2.0e-17    4.997 7.25e+05
1612  J1818-1519    0.939690 5.0e-10 4.11e-15 7.0e-17    5.362 3.63e+06
1613  J1818-1541    0.551134 3.0e-11 9.68e-15 7.0e-18    4.792 9.02e+05
1614  J1818-1556    0.952709 1.9e-11 7.06e-16 1.9e-18    3.464 2.14e+07
1615  J1818-1607    1.363492 4.0e-07 4.18e-11 1.9e-13    4.808 5.16e+02

1616  J1819-0925    0.852047 1.5e-11 3.13e-15 1.1e-18   13.840 4.31e+06
1617  J1819-1008    0.301490 7.0e-12 1.32e-15 5.0e-19   13.539 3.62e+06
1618  J1819-1114    0.294163 2.0e-11 5.66e-16 6.0e-18    5.795 8.23e+06
1619  J1819-1131    1.388137 1.6e-10 7.61e-16 1.0e-17   16.385 2.89e+07
1620  J1819+1305    1.060364 7.0e-12 3.59e-16 2.0e-19    4.047 4.68e+07

1621  J1819-1318    1.515696 1.2e-10 5.97e-16 3.0e-17    0.811 4.02e+07
1622  J1819-1408    1.788490 1.6e-09 2.59e-15 1.6e-16    8.976 1.09e+07
1623  J1819-1458    4.263213 8.0e-08 5.63e-13 8.0e-17    3.301 1.20e+05
1624  J1819-1510    0.226539 4.0e-12 7.85e-18 9.0e-19    4.123 4.57e+08
1625  J1819-17      2.352135 1.5e-05      NaN       0    1.881    NaN

1626  J1819-1717    0.393522 6.0e-11 3.45e-15 6.0e-18    4.793 1.80e+06
1627  J1819-37      0.632000       0      NaN       0    2.712    NaN
1628  B1818-04      0.598082 4.0e-12 6.33e-15 1.1e-19    2.857 1.50e+06
1629  J1820-0509    0.337321 3.0e-12 9.32e-16 3.0e-19    3.297 5.73e+06
1630  B1817-13      0.921460 5.0e-12 4.50e-15 4.0e-20    5.862 3.25e+06

1631  J1820-1529    0.333254 1.8e-09 3.79e-14 5.0e-18    5.195 1.39e+05
1632  B1817-18      0.309905 9.0e-13 9.36e-17 6.0e-21   14.039 5.25e+07
1633  J1821+0155    0.033781 1.3e-13 2.90e-20 1.9e-22    1.723 1.85e+10
1634  J1821-0256    0.414111 1.4e-11 3.72e-17 1.4e-18    3.160 1.76e+08
1635  J1821-0331    0.902316 4.0e-11 2.53e-15 2.0e-17    7.556 5.65e+06

1636  J1821-1419    1.656010 9.0e-10 8.95e-13 3.0e-16    6.129 2.93e+04
1637  J1821-1432    1.915131 8.0e-11 5.37e-15 8.0e-18    4.540 5.65e+06
1638  J1821+1715    1.366682 1.0e-11 8.71e-16 1.1e-18    4.140 2.48e+07
1639  J1821+4147    1.261857 8.0e-12 1.73e-15 1.0e-18    4.444 1.16e+07
1640  J1822+02      1.508000       0      NaN       0    5.411    NaN

1641  J1822+0705    1.362817 1.9e-11 1.75e-15 3.0e-19    2.873 1.24e+07
1642  J1822-0719    0.499076 4.0e-11 1.90e-17 2.0e-19    4.611 4.16e+08
1643  J1822-0848    0.834839 1.4e-11 1.35e-16 4.0e-18    3.826 9.80e+07
1644  J1822-0902    0.148895 3.0e-12 1.78e-14 8.0e-19   15.673 1.33e+05
1645  J1822-0907    0.974700 6.0e-11 3.55e-16 3.0e-18   16.078 4.35e+07

1646  J1822+1120    1.787037 4.0e-11 2.35e-15 4.0e-18    7.776 1.21e+07
1647  J1822-1252    2.071040 5.0e-10 8.48e-14 3.0e-17    6.404 3.87e+05
1648  B1820-14      0.214771 6.0e-12 9.07e-16 5.0e-20    4.753 3.75e+06
1649  J1822-1604    8.437721 7.0e-08 2.14e-14 3.0e-15      NaN 6.26e+06
1650  J1822-1617    0.831156 3.0e-10 1.89e-15 1.2e-17   14.868 6.99e+06

1651  B1819-22      1.874269 6.0e-12 1.35e-15 4.0e-20    3.260 2.19e+07
1652  J1822+2617    0.591418 1.4e-12 7.98e-16 7.0e-19    7.861 1.17e+07
1653  J1822-4209    0.456512 4.0e-12 4.59e-16 6.0e-20    3.687 1.58e+07
1654  J1823-0154    0.759777 4.0e-12 1.13e-15 4.0e-20    5.271 1.06e+07
1655  B1821+05      0.752907 1.0e-12 2.27e-16 9.0e-21    2.000 5.26e+07

1656  B1820-11      0.279829 5.0e-12 1.38e-15 4.0e-20    5.371 3.22e+06
1657  J1823-1126    1.846534 3.0e-10 3.65e-14 1.1e-16    9.274 8.01e+05
1658  J1823-1347    0.617107 1.2e-10 9.60e-15 3.0e-17    5.873 1.02e+06
1659  J1823-1526    1.625405 1.6e-10 4.52e-15 3.0e-17    8.157 5.70e+06
1660  J1823-1807    1.636792 1.7e-10 2.79e-16 4.0e-17   10.147 9.31e+07

1661  B1820-30B     0.378596 2.7e-12 2.99e-17 1.4e-18    8.020 2.01e+08
1662  J1823-3021C   0.405936 5.3e-12 2.24e-16 2.5e-18    8.020 2.87e+07
1663  B1820-31      0.284054 5.0e-12 2.93e-15 4.0e-20    1.586 1.54e+06
1664  J1824-0127    2.499470 1.9e-11 3.91e-15 5.0e-19    2.219 1.01e+07
1665  J1824-0132    0.223729 4.0e-12 2.82e-17 3.0e-19    3.096 1.26e+08

1666  B1821-11      0.435759 1.8e-11 3.55e-15 1.4e-19    6.003 1.94e+06
1667  J1824-1159    0.362492 8.0e-12 5.38e-15 2.0e-18    4.457 1.07e+06
1668  J1824-1350    1.396599 4.0e-11 6.07e-16 7.0e-20    4.693 3.65e+07
1669  J1824-1423    0.359394 6.0e-12 3.92e-16 1.9e-18    4.548 1.45e+07
1670  J1824-1500    0.412230 6.0e-11 7.58e-16 1.1e-17    6.078 8.62e+06

1671  B1821-19      0.189337 1.1e-13 5.24e-15 1.8e-19    3.700 5.73e+05
1672  J1824-2233    1.161743 3.0e-11 3.01e-16 3.0e-18    4.597 6.12e+07
1673  J1824-2328    1.505875 3.0e-11 1.74e-15 3.0e-18    8.965 1.37e+07
1674  J1824-2452D   0.079832       0      NaN       0    5.370    NaN
1675  J1824-2537    0.223320 3.0e-12 4.40e-16 8.0e-20    7.301 8.04e+06

1676  B1822+00      0.778949 5.0e-12 8.76e-16 5.0e-20    1.861 1.41e+07
1677  B1822-09      0.769021 6.0e-12 5.24e-14 1.8e-19    0.300 2.33e+05
1678  J1825-1108    1.925872 8.0e-10 1.90e-15 6.0e-19    2.750 1.61e+07
1679  B1822-14      0.279198 4.0e-11 2.27e-14 5.0e-19    4.440 1.95e+05
1680  J1825-31      2.382000       0      NaN       0    3.967    NaN

1681  J1825-33      1.271200 2.0e-04      NaN       0    1.238    NaN
1682  B1823-11      2.093136 1.4e-11 4.91e-15 1.4e-19    3.976 6.75e+06
1683  J1826-1256    0.110224 4.0e-12 1.21e-13 1.3e-19    1.550 1.44e+04
1684  B1823-13      0.101487 3.0e-13 7.53e-14 1.0e-20    3.606 2.14e+04
1685  J1826-1419    0.770620 7.0e-12 8.78e-15 2.0e-19    3.243 1.39e+06

1686  J1826-1526    0.382073 1.7e-11 1.08e-15 8.0e-18   14.919 5.58e+06
1687  J1827-0750    0.270502 3.0e-12 1.54e-15 8.0e-19    9.830 2.77e+06
1688  J1827-0934    0.512548 1.6e-11 7.23e-15 4.0e-18    4.068 1.12e+06
1689  B1824-10      0.245757 1.9e-12 1.00e-15 1.1e-20    5.034 3.88e+06
1690  J1827-1446    0.499187 3.0e-11 4.53e-14 8.0e-19      NaN 1.74e+05

1691  J1828-0611    0.269415 3.0e-12 1.46e-15 3.0e-19   12.114 2.92e+06
1692  J1828-1007    0.153197 1.5e-12 6.13e-16 1.2e-19    4.014 3.96e+06
1693  J1828-1057    0.246333 4.0e-12 2.07e-14 3.0e-19    3.648 1.89e+05
1694  J1828-1101    0.072057 7.0e-11 1.48e-14 1.1e-19    4.767 7.72e+04
1695  J1828+1221    1.528295 5.0e-11 1.75e-15 1.9e-18    3.849 1.39e+07

1696  J1828-1336    0.860332 7.0e-11 9.95e-16 1.5e-17    7.949 1.37e+07
1697  J1828+1359    0.741640 8.0e-12 7.29e-16 2.0e-19    2.754 1.61e+07
1698  J1828-2119    0.514523 1.4e-11 1.27e-15 1.4e-18   17.961 6.44e+06
1699  J1829+0000    0.199147 8.0e-12 5.25e-16 8.0e-19    4.353 6.01e+06
1700  J1829-0734    0.318401 1.8e-11 4.79e-15 9.0e-18    6.094 1.05e+06

1701  J1829-1011    0.829166 1.6e-10 -5.00e-18 3.9e-18    4.938    NaN
1702  B1826-17      0.307133 5.0e-12 5.55e-15 5.0e-20    5.915 8.77e+05
1703  J1829+2456    0.041010 4.0e-14 5.25e-20 1.5e-21    0.909 1.24e+10
1704  J1829+25      2.857000 0.0e+00      NaN       0    8.926    NaN
1705  J1830-0052    0.345698 5.0e-11 2.37e-16 8.0e-18   10.252 2.31e+07

1706  J1830-0131    0.152512 4.0e-12 2.11e-15 4.0e-18    3.502 1.15e+06
1707  J1830-10      0.245260 3.0e-06      NaN       0    3.420    NaN
1708  B1828-11      0.405073 9.0e-11 5.99e-14 1.7e-18    3.147 1.07e+05
1709  J1830-1135    6.221553 1.6e-09 4.77e-14 6.0e-17    3.757 2.06e+06
1710  J1830-1313    0.747188 8.0e-11 1.71e-15 1.7e-17   12.631 6.91e+06

1711  J1830-1414    0.771493 6.0e-11 7.62e-17 1.1e-17   10.100 1.60e+08
1712  J1831-04      1.065578 3.0e-06      NaN       0    4.910    NaN
1713  J1831-0823    0.612133 1.5e-11 3.09e-16 1.2e-18    3.886 3.14e+07
1714  J1831-0952    0.067267 1.4e-12 8.32e-15 3.0e-20    3.683 1.28e+05
1715  J1831-1223    2.857941 6.0e-10 5.47e-15 3.0e-16    4.875 8.27e+06

1716  J1831-1329    2.165679 3.0e-10 2.99e-15 6.0e-17    6.314 1.15e+07
1717  J1831-1423    0.507945 1.3e-11 1.09e-15 1.1e-18   10.121 7.35e+06
1718  J1832+0029    0.533918 3.0e-12 1.55e-15 3.0e-19    1.120 5.45e+06
1719  J1832-0644    0.744295 5.0e-11 3.71e-14 1.7e-17   10.253 3.18e+05
1720  B1829-08      0.647326 9.0e-13 6.39e-14 1.7e-19    5.200 1.61e+05

1721  B1829-10      0.330354 5.0e-12 4.20e-15 5.0e-20    4.685 1.25e+06
