6    241    179          Itext Imax Icore 

      Mag field EoS B32 (2104.05950) with crust from APR 

   Rho           Press        nbar          Ye          Ymu          Yn            Yp         Yla           Ysm         Ys0          Ysp          mstp          mstn        mstla        mstsm        msts0        mstsp 
  g/cm3        dyne/cm2      #/fm3       [A_cell]     [A_ion]        [Z] 

1.478884E+15 5.821197E+35 6.767947E-01 8.608781E-02 2.332503E-02 3.379768E-01 2.268816E-01 2.079819E-01 1.174687E-01 2.781712E-04 0.000000E+00 1.667167E-01 1.667167E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.456567E+15 5.682299E+35 6.674428E-01 8.673658E-02 2.352288E-02 3.486089E-01 2.236740E-01 2.037650E-01 1.134145E-01 2.781712E-04 0.000000E+00 1.689452E-01 1.689452E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.434594E+15 5.545676E+35 6.582202E-01 8.737533E-02 2.371706E-02 3.594600E-01 2.203479E-01 1.995661E-01 1.092555E-01 2.781712E-04 0.000000E+00 1.712006E-01 1.712006E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.412958E+15 5.411296E+35 6.491250E-01 8.800282E-02 2.391703E-02 3.704711E-01 2.169265E-01 1.953978E-01 1.050066E-01 2.781712E-04 0.000000E+00 1.734831E-01 1.734831E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.391657E+15 5.279143E+35 6.401555E-01 8.861681E-02 2.413185E-02 3.815977E-01 2.134289E-01 1.912663E-01 1.006802E-01 2.781712E-04 0.000000E+00 1.757929E-01 1.757929E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.370683E+15 5.149210E+35 6.313100E-01 8.921425E-02 2.436983E-02 3.928050E-01 2.098691E-01 1.871786E-01 9.628504E-02 2.781712E-04 0.000000E+00 1.781303E-01 1.781303E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.350031E+15 5.021450E+35 6.225866E-01 8.979147E-02 2.463826E-02 4.040739E-01 2.062550E-01 1.831380E-01 9.182523E-02 2.781712E-04 0.000000E+00 1.804954E-01 1.804954E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.329698E+15 4.895845E+35 6.139838E-01 9.034441E-02 2.494326E-02 4.153993E-01 2.025875E-01 1.791476E-01 8.729979E-02 2.781712E-04 0.000000E+00 1.828884E-01 1.828884E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.309675E+15 4.772357E+35 6.054999E-01 9.086876E-02 2.528960E-02 4.267914E-01 1.988608E-01 1.752088E-01 8.270246E-02 2.781712E-04 0.000000E+00 1.853095E-01 1.853095E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.289961E+15 4.650980E+35 5.971332E-01 9.135902E-02 2.568281E-02 4.382719E-01 1.950639E-01 1.713222E-01 7.802204E-02 2.781712E-04 0.000000E+00 1.877589E-01 1.877589E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.270548E+15 4.531688E+35 5.888821E-01 9.181100E-02 2.612431E-02 4.498771E-01 1.911785E-01 1.674878E-01 7.324318E-02 2.781712E-04 0.000000E+00 1.902368E-01 1.902368E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.251434E+15 4.414473E+35 5.807450E-01 9.222113E-02 2.661391E-02 4.616513E-01 1.871827E-01 1.637050E-01 6.834770E-02 2.781712E-04 0.000000E+00 1.927434E-01 1.927434E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.232611E+15 4.299285E+35 5.727204E-01 9.258601E-02 2.715085E-02 4.736423E-01 1.830532E-01 1.599731E-01 6.331634E-02 2.781712E-04 0.000000E+00 1.952788E-01 1.952788E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.214077E+15 4.186114E+35 5.648066E-01 9.290159E-02 2.773454E-02 4.859035E-01 1.787636E-01 1.562912E-01 5.812743E-02 2.781712E-04 0.000000E+00 1.978432E-01 1.978432E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.195825E+15 4.074932E+35 5.570022E-01 9.316264E-02 2.836441E-02 4.984860E-01 1.742888E-01 1.526582E-01 5.276178E-02 2.781712E-04 0.000000E+00 2.004368E-01 2.004368E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.177851E+15 3.965720E+35 5.493056E-01 9.337066E-02 2.903272E-02 5.114111E-01 1.696189E-01 1.490730E-01 4.721548E-02 2.781712E-04 0.000000E+00 2.030597E-01 2.030597E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.160153E+15 3.858464E+35 5.417154E-01 9.352422E-02 2.973527E-02 5.246981E-01 1.647445E-01 1.455348E-01 4.148497E-02 2.781712E-04 0.000000E+00 2.057121E-01 2.057121E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.142722E+15 3.753137E+35 5.342301E-01 9.361689E-02 3.047040E-02 5.383530E-01 1.596632E-01 1.420424E-01 3.557589E-02 2.781712E-04 0.000000E+00 2.083941E-01 2.083941E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.125557E+15 3.649744E+35 5.268482E-01 9.365545E-02 3.122717E-02 5.523073E-01 1.544098E-01 1.385950E-01 2.952716E-02 2.781712E-04 0.000000E+00 2.111059E-01 2.111059E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.108654E+15 3.548247E+35 5.195683E-01 9.363676E-02 3.200145E-02 5.665024E-01 1.490141E-01 1.351913E-01 2.337589E-02 2.781712E-04 0.000000E+00 2.138476E-01 2.138476E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.092005E+15 3.448613E+35 5.123890E-01 9.356209E-02 3.278572E-02 5.807858E-01 1.435530E-01 1.318300E-01 1.720524E-02 2.781712E-04 0.000000E+00 2.166193E-01 2.166193E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.075609E+15 3.350839E+35 5.053089E-01 9.343660E-02 3.357222E-02 5.949647E-01 1.381239E-01 1.285093E-01 1.111511E-02 2.781712E-04 0.000000E+00 2.194212E-01 2.194212E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.059462E+15 3.254908E+35 4.983266E-01 9.325694E-02 3.435429E-02 6.087955E-01 1.328497E-01 1.252269E-01 5.238481E-03 2.781712E-04 0.000000E+00 2.222533E-01 2.222533E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.043559E+15 3.160796E+35 4.914408E-01 9.303339E-02 3.512451E-02 6.218980E-01 1.279220E-01 1.219799E-01 -2.359167E-04 2.781712E-04 0.000000E+00 2.251157E-01 2.251157E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.027895E+15 3.068484E+35 4.846501E-01 9.276183E-02 3.587472E-02 6.271827E-01 1.268875E-01 1.187642E-01 -1.749042E-03 2.781712E-04 0.000000E+00 2.280086E-01 2.280086E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.012467E+15 2.977964E+35 4.779533E-01 9.245325E-02 3.659993E-02 6.295388E-01 1.273041E-01 1.155747E-01 -1.749042E-03 2.781712E-04 0.000000E+00 2.309320E-01 2.309320E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.972723E+14 2.889222E+35 4.713490E-01 9.210637E-02 3.729098E-02 6.320200E-01 1.276483E-01 1.124052E-01 -1.749042E-03 2.781712E-04 0.000000E+00 2.338860E-01 2.338860E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.823065E+14 2.802241E+35 4.648360E-01 9.172913E-02 3.794401E-02 6.346258E-01 1.279241E-01 1.092478E-01 -1.749042E-03 2.781712E-04 0.000000E+00 2.368706E-01 2.368706E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.675650E+14 2.717003E+35 4.584130E-01 9.132538E-02 3.855284E-02 6.373707E-01 1.281292E-01 1.060928E-01 -1.749042E-03 2.781712E-04 0.000000E+00 2.398860E-01 2.398860E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.530442E+14 2.633493E+35 4.520787E-01 9.089795E-02 3.910967E-02 6.402802E-01 1.282586E-01 1.029245E-01 -1.749042E-03 2.781712E-04 0.000000E+00 2.429321E-01 2.429321E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.387414E+14 2.551703E+35 4.458320E-01 9.045472E-02 3.961554E-02 6.433477E-01 1.283212E-01 9.973170E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.460090E-01 2.460090E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.246530E+14 2.471620E+35 4.396715E-01 8.999745E-02 4.005985E-02 6.466063E-01 1.283083E-01 9.649899E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.491167E-01 2.491167E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.107757E+14 2.393232E+35 4.335962E-01 8.953191E-02 4.044236E-02 6.500684E-01 1.282252E-01 9.320302E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.522552E-01 2.522552E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.971060E+14 2.316526E+35 4.276048E-01 8.906286E-02 4.076383E-02 6.537495E-01 1.280776E-01 8.981699E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.554245E-01 2.554245E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.836407E+14 2.241489E+35 4.216963E-01 8.859347E-02 4.101624E-02 6.576747E-01 1.278607E-01 8.632577E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.586246E-01 2.586246E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.703765E+14 2.168110E+35 4.158693E-01 8.812783E-02 4.119849E-02 6.618797E-01 1.275773E-01 8.268761E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.618554E-01 2.618554E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.573102E+14 2.096376E+35 4.101229E-01 8.766942E-02 4.131480E-02 6.663803E-01 1.272352E-01 7.887114E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.651170E-01 2.651170E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.444387E+14 2.026277E+35 4.044559E-01 8.722098E-02 4.136470E-02 6.711931E-01 1.268366E-01 7.485547E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.684093E-01 2.684093E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.317590E+14 1.957798E+35 3.988672E-01 8.678576E-02 4.134201E-02 6.764043E-01 1.263787E-01 7.056005E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.717322E-01 2.717322E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.192681E+14 1.890929E+35 3.933557E-01 8.636598E-02 4.124987E-02 6.819913E-01 1.258668E-01 6.599690E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.750856E-01 2.750856E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.069631E+14 1.825655E+35 3.879204E-01 8.596290E-02 4.109332E-02 6.880661E-01 1.253072E-01 6.104138E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.784694E-01 2.784694E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.948412E+14 1.761963E+35 3.825602E-01 8.557785E-02 4.087390E-02 6.945862E-01 1.247027E-01 5.573027E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.818836E-01 2.818836E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.828996E+14 1.699844E+35 3.772740E-01 8.521174E-02 4.059355E-02 7.017121E-01 1.240562E-01 4.989723E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.853279E-01 2.853279E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.711356E+14 1.639391E+35 3.720609E-01 8.486514E-02 4.025460E-02 7.093832E-01 1.233707E-01 4.359725E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.888023E-01 2.888023E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.595465E+14 1.580496E+35 3.669198E-01 8.453950E-02 3.985480E-02 7.177852E-01 1.226453E-01 3.664609E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.923066E-01 2.923066E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
