         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   37   4.813175E+03   2.451972E-01   9.729E+14   1.373E+35   5.355E-01      1.022E+00   8.689E-01   1.199E+00   2.418E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.173E+08   1.000E+00   1.000E+00   00000   5.656E-01   3.745E-01  3p2   N/A    N/A    N/A 
   38   4.856152E+03   2.511436E-01   9.702E+14   1.362E+35   5.342E-01      1.020E+00   8.674E-01   1.197E+00   2.416E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.192E+08   1.000E+00   1.000E+00   00000   5.661E-01   3.749E-01  3p2   N/A    N/A    N/A 
   39   4.898381E+03   2.569866E-01   9.676E+14   1.351E+35   5.329E-01      1.019E+00   8.659E-01   1.195E+00   2.414E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.211E+08   1.000E+00   1.000E+00   00000   5.667E-01   3.753E-01  3p2   N/A    N/A    N/A 
   40   4.939895E+03   2.627305E-01   9.649E+14   1.340E+35   5.316E-01      1.018E+00   8.645E-01   1.194E+00   2.412E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.230E+08   1.000E+00   1.000E+00   00000   5.672E-01   3.756E-01  3p2   N/A    N/A    N/A 
   41   4.980723E+03   2.683796E-01   9.624E+14   1.329E+35   5.304E-01      1.017E+00   8.630E-01   1.192E+00   2.411E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.249E+08   1.000E+00   1.000E+00   00000   5.677E-01   3.760E-01  3p2   N/A    N/A    N/A 
   42   5.020891E+03   2.739374E-01   9.598E+14   1.318E+35   5.292E-01      1.015E+00   8.616E-01   1.190E+00   2.409E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.267E+08   1.000E+00   1.000E+00   00000   5.682E-01   3.764E-01  3p2   N/A    N/A    N/A 
   43   5.060428E+03   2.802131E-01   9.571E+14   1.307E+35   5.279E-01      1.014E+00   8.601E-01   1.189E+00   2.407E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.287E+08   1.000E+00   1.000E+00   00000   5.688E-01   3.768E-01  3p2   N/A    N/A    N/A 
   44   5.099355E+03   2.868324E-01   9.543E+14   1.296E+35   5.266E-01      1.013E+00   8.585E-01   1.187E+00   2.406E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.307E+08   1.000E+00   1.000E+00   00000   5.694E-01   3.772E-01  3p2   N/A    N/A    N/A 
   45   5.137698E+03   2.933523E-01   9.516E+14   1.286E+35   5.252E-01      1.011E+00   8.570E-01   1.185E+00   2.404E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.328E+08   1.000E+00   1.000E+00   00000   5.699E-01   3.776E-01  3p2   N/A    N/A    N/A 
   46   5.175476E+03   2.997762E-01   9.489E+14   1.275E+35   5.239E-01      1.010E+00   8.555E-01   1.183E+00   2.402E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.348E+08   1.000E+00   1.000E+00   00000   5.705E-01   3.780E-01  3p2   N/A    N/A    N/A 
   47   5.212712E+03   3.061077E-01   9.462E+14   1.265E+35   5.226E-01      1.009E+00   8.539E-01   1.182E+00   2.400E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.368E+08   1.000E+00   1.000E+00   00000   5.711E-01   3.784E-01  3p2   N/A    N/A    N/A 
   48   5.249422E+03   3.123500E-01   9.435E+14   1.254E+35   5.214E-01      1.008E+00   8.524E-01   1.180E+00   2.398E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.389E+08   1.000E+00   1.000E+00   00000   5.716E-01   3.788E-01  3p2   N/A    N/A    N/A 
   49   5.285626E+03   3.185062E-01   9.409E+14   1.244E+35   5.201E-01      1.006E+00   8.509E-01   1.178E+00   2.397E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.409E+08   1.000E+00   1.000E+00   00000   5.722E-01   3.792E-01  3p2   N/A    N/A    N/A 
   50   5.321341E+03   3.245793E-01   9.384E+14   1.234E+35   5.189E-01      1.005E+00   8.495E-01   1.176E+00   2.395E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.428E+08   1.000E+00   1.000E+00   00000   5.727E-01   3.796E-01  3p2   N/A    N/A    N/A 
   51   5.356582E+03   3.305718E-01   9.358E+14   1.224E+35   5.177E-01      1.004E+00   8.480E-01   1.175E+00   2.393E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.448E+08   1.000E+00   1.000E+00   00000   5.732E-01   3.799E-01  3p2   N/A    N/A    N/A 
   52   5.391366E+03   3.364866E-01   9.333E+14   1.215E+35   5.164E-01      1.003E+00   8.466E-01   1.173E+00   2.391E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.468E+08   1.000E+00   1.000E+00   00000   5.738E-01   3.803E-01  3p2   N/A    N/A    N/A 
   53   5.425707E+03   3.423259E-01   9.309E+14   1.205E+35   5.153E-01      1.001E+00   8.452E-01   1.172E+00   2.390E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.487E+08   1.000E+00   1.000E+00   00000   5.743E-01   3.807E-01  3p2   N/A    N/A    N/A 
   54   5.459618E+03   3.480923E-01   9.284E+14   1.195E+35   5.141E-01      1.000E+00   8.438E-01   1.170E+00   2.388E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.507E+08   1.000E+00   1.000E+00   00000   5.748E-01   3.811E-01  3p2   N/A    N/A    N/A 
   55   5.493114E+03   3.537880E-01   9.260E+14   1.186E+35   5.129E-01      9.991E-01   8.424E-01   1.168E+00   2.386E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.526E+08   1.000E+00   1.000E+00   00000   5.753E-01   3.814E-01  3p2   N/A    N/A    N/A 
   56   5.526206E+03   3.594150E-01   9.237E+14   1.177E+35   5.117E-01      9.979E-01   8.410E-01   1.167E+00   2.385E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.546E+08   1.000E+00   1.000E+00   00000   5.758E-01   3.818E-01  3p2   N/A    N/A    N/A 
   57   5.558906E+03   3.649755E-01   9.213E+14   1.168E+35   5.106E-01      9.967E-01   8.396E-01   1.165E+00   2.383E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.565E+08   1.000E+00   1.000E+00   00000   5.763E-01   3.822E-01  3p2   N/A    N/A    N/A 
   58   5.591226E+03   3.704712E-01   9.190E+14   1.158E+35   5.095E-01      9.956E-01   8.382E-01   1.164E+00   2.382E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.584E+08   1.000E+00   1.000E+00   00000   5.768E-01   3.825E-01  3p2   N/A    N/A    N/A 
   59   5.623177E+03   3.759041E-01   9.167E+14   1.150E+35   5.084E-01      9.945E-01   8.369E-01   1.162E+00   2.380E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.603E+08   1.000E+00   1.000E+00   00000   5.773E-01   3.829E-01  3p2   N/A    N/A    N/A 
   60   5.654768E+03   3.812760E-01   9.144E+14   1.141E+35   5.072E-01      9.933E-01   8.356E-01   1.161E+00   2.378E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.622E+08   1.000E+00   1.000E+00   00000   5.778E-01   3.833E-01  3p2   N/A    N/A    N/A 
   61   5.686011E+03   3.865886E-01   9.122E+14   1.132E+35   5.062E-01      9.922E-01   8.342E-01   1.159E+00   2.377E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.641E+08   1.000E+00   1.000E+00   00000   5.783E-01   3.836E-01  3p2   N/A    N/A    N/A 
   62   5.716914E+03   3.927783E-01   9.097E+14   1.123E+35   5.049E-01      9.910E-01   8.327E-01   1.157E+00   2.375E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.662E+08   1.000E+00   1.000E+00   00000   5.789E-01   3.840E-01  3p2   N/A    N/A    N/A 
   63   5.747486E+03   3.989887E-01   9.072E+14   1.114E+35   5.037E-01      9.897E-01   8.313E-01   1.156E+00   2.373E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.684E+08   1.000E+00   1.000E+00   00000   5.794E-01   3.844E-01  3p2   N/A    N/A    N/A 
   64   5.777737E+03   4.051338E-01   9.047E+14   1.105E+35   5.025E-01      9.885E-01   8.298E-01   1.154E+00   2.372E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.705E+08   1.000E+00   1.000E+00   00000   5.800E-01   3.848E-01  3p2   N/A    N/A    N/A 
   65   5.807673E+03   4.112151E-01   9.022E+14   1.097E+35   5.013E-01      9.873E-01   8.283E-01   1.152E+00   2.370E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.727E+08   1.000E+00   1.000E+00   00000   5.805E-01   3.852E-01  3p2   N/A    N/A    N/A 
   66   5.837305E+03   4.172344E-01   8.998E+14   1.088E+35   5.001E-01      9.860E-01   8.268E-01   1.151E+00   2.368E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.748E+08   1.000E+00   1.000E+00   00000   5.811E-01   3.856E-01  3p2   N/A    N/A    N/A 
   67   5.866638E+03   4.231932E-01   8.974E+14   1.080E+35   4.989E-01      9.848E-01   8.254E-01   1.149E+00   2.367E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.769E+08   1.000E+00   1.000E+00   00000   5.816E-01   3.860E-01  3p2   N/A    N/A    N/A 
   68   5.895682E+03   4.290930E-01   8.950E+14   1.071E+35   4.977E-01      9.836E-01   8.240E-01   1.148E+00   2.365E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.790E+08   1.000E+00   1.000E+00   00000   5.821E-01   3.864E-01  3p2   N/A    N/A    N/A 
   69   5.924442E+03   4.349353E-01   8.927E+14   1.063E+35   4.966E-01      9.824E-01   8.226E-01   1.146E+00   2.363E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.811E+08   1.000E+00   1.000E+00   00000   5.827E-01   3.868E-01  3p2   N/A    N/A    N/A 
   70   5.952925E+03   4.407214E-01   8.903E+14   1.055E+35   4.954E-01      9.813E-01   8.211E-01   1.144E+00   2.362E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.832E+08   1.000E+00   1.000E+00   00000   5.832E-01   3.871E-01  3p2   N/A    N/A    N/A 
   71   5.981138E+03   4.464525E-01   8.880E+14   1.047E+35   4.943E-01      9.801E-01   8.197E-01   1.143E+00   2.360E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.853E+08   1.000E+00   1.000E+00   00000   5.837E-01   3.875E-01  3p2   N/A    N/A    N/A 
   72   6.009088E+03   4.521303E-01   8.857E+14   1.038E+35   4.932E-01      9.789E-01   8.183E-01   1.141E+00   2.358E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.874E+08   1.000E+00   1.000E+00   00000   5.842E-01   3.879E-01  3p2   N/A    N/A    N/A 
   73   6.036780E+03   4.577557E-01   8.835E+14   1.030E+35   4.921E-01      9.778E-01   8.170E-01   1.140E+00   2.357E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.895E+08   1.000E+00   1.000E+00   00000   5.847E-01   3.883E-01  3p2   N/A    N/A    N/A 
   74   6.064220E+03   4.633297E-01   8.812E+14   1.023E+35   4.909E-01      9.766E-01   8.156E-01   1.138E+00   2.355E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.916E+08   1.000E+00   1.000E+00   00000   5.853E-01   3.887E-01  3p2   N/A    N/A    N/A 
   75   6.091414E+03   4.688540E-01   8.790E+14   1.015E+35   4.898E-01      9.755E-01   8.142E-01   1.136E+00   2.353E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.937E+08   1.000E+00   1.000E+00   00000   5.858E-01   3.890E-01  3p2   N/A    N/A    N/A 
   76   6.118368E+03   4.743292E-01   8.768E+14   1.007E+35   4.887E-01      9.743E-01   8.128E-01   1.135E+00   2.352E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.957E+08   1.000E+00   1.000E+00   00000   5.863E-01   3.894E-01  3p2   N/A    N/A    N/A 
