         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   30   7.612222E+03   4.000659E-01   3.917E+14   2.039E+34   2.273E-01      7.513E-01   5.270E-01   8.294E-01   1.833E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.956E+08   1.000E+00   1.000E+00   00000   8.802E-01   8.802E-01  3p2   N/A    N/A    N/A 
   31   7.695880E+03   4.126175E-01   3.894E+14   1.995E+34   2.261E-01      7.491E-01   5.239E-01   8.264E-01   1.830E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.964E+08   1.000E+00   1.000E+00   00000   8.808E-01   8.808E-01  3p2   N/A    N/A    N/A 
   32   7.777757E+03   4.249019E-01   3.872E+14   1.952E+34   2.249E-01      7.470E-01   5.209E-01   8.234E-01   1.827E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.971E+08   1.000E+00   1.000E+00   00000   8.814E-01   8.814E-01  3p2   N/A    N/A    N/A 
   33   7.857946E+03   4.369331E-01   3.850E+14   1.910E+34   2.237E-01      7.449E-01   5.179E-01   8.205E-01   1.824E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.977E+08   1.000E+00   1.000E+00   00000   8.821E-01   8.821E-01  3p2   N/A    N/A    N/A 
   34   7.936530E+03   4.487235E-01   3.828E+14   1.869E+34   2.225E-01      7.429E-01   5.150E-01   8.176E-01   1.821E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.982E+08   1.000E+00   1.000E+00   00000   8.827E-01   8.827E-01  3p2   N/A    N/A    N/A 
   35   8.013589E+03   4.602850E-01   3.807E+14   1.828E+34   2.213E-01      7.409E-01   5.121E-01   8.148E-01   1.818E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.987E+08   1.000E+00   1.000E+00   00000   8.833E-01   8.833E-01  3p2   N/A    N/A    N/A 
   36   8.089193E+03   4.716282E-01   3.787E+14   1.789E+34   2.202E-01      7.389E-01   5.092E-01   8.121E-01   1.815E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.990E+08   1.000E+00   1.000E+00   00000   8.839E-01   8.839E-01  3p2   N/A    N/A    N/A 
   37   8.163410E+03   4.827634E-01   3.766E+14   1.750E+34   2.190E-01      7.370E-01   5.064E-01   8.093E-01   1.813E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.994E+08   1.000E+00   1.000E+00   00000   8.844E-01   8.844E-01  3p2   N/A    N/A    N/A 
   38   8.236301E+03   4.936996E-01   3.746E+14   1.711E+34   2.179E-01      7.351E-01   5.036E-01   8.067E-01   1.810E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.996E+08   1.000E+00   1.000E+00   00000   8.850E-01   8.850E-01  3p2   N/A    N/A    N/A 
   39   8.307925E+03   5.055430E-01   3.724E+14   1.674E+34   2.167E-01      7.329E-01   5.005E-01   8.036E-01   1.807E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.998E+08   8.344E+05   1.000E+00   00000   8.857E-01   8.857E-01  3p2   N/A    N/A    N/A 
   40   8.378334E+03   5.175646E-01   3.700E+14   1.637E+34   2.154E-01      7.306E-01   4.971E-01   8.005E-01   1.803E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+09   2.810E+07   1.000E+00   00000   8.863E-01   8.863E-01  3p2   N/A    N/A    N/A 
   41   8.447580E+03   5.293875E-01   3.677E+14   1.600E+34   2.141E-01      7.284E-01   4.939E-01   7.974E-01   1.800E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+09   6.361E+07   1.000E+00   00000   8.870E-01   8.870E-01  3p2   N/A    N/A    N/A 
   42   8.515708E+03   5.410196E-01   3.655E+14   1.564E+34   2.129E-01      7.262E-01   4.906E-01   7.943E-01   1.797E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+09   1.066E+08   1.000E+00   00000   8.876E-01   8.876E-01  3p2   N/A    N/A    N/A 
   43   8.582764E+03   5.524686E-01   3.632E+14   1.529E+34   2.116E-01      7.241E-01   4.874E-01   7.913E-01   1.794E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.998E+08   1.557E+08   1.000E+00   00000   8.883E-01   8.883E-01  3p2   N/A    N/A    N/A 
   44   8.648789E+03   5.637415E-01   3.611E+14   1.494E+34   2.104E-01      7.220E-01   4.843E-01   7.883E-01   1.790E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.996E+08   2.099E+08   1.000E+00   00000   8.889E-01   8.889E-01  3p2   N/A    N/A    N/A 
   45   8.713819E+03   5.748447E-01   3.589E+14   1.460E+34   2.092E-01      7.199E-01   4.811E-01   7.853E-01   1.787E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.994E+08   2.682E+08   1.000E+00   00000   8.895E-01   8.895E-01  3p2   N/A    N/A    N/A 
   46   8.777894E+03   5.857847E-01   3.568E+14   1.426E+34   2.080E-01      7.178E-01   4.780E-01   7.824E-01   1.784E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.990E+08   3.296E+08   1.000E+00   00000   8.901E-01   8.901E-01  3p2   N/A    N/A    N/A 
   47   8.841046E+03   5.965672E-01   3.547E+14   1.393E+34   2.068E-01      7.157E-01   4.749E-01   7.796E-01   1.781E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.986E+08   3.932E+08   1.000E+00   00000   8.908E-01   8.908E-01  3p2   N/A    N/A    N/A 
   48   8.903309E+03   6.071979E-01   3.526E+14   1.360E+34   2.057E-01      7.137E-01   4.719E-01   7.767E-01   1.778E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.981E+08   4.582E+08   1.000E+00   00000   8.914E-01   8.914E-01  3p2   N/A    N/A    N/A 
