#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.264E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  227   1.2434728E+004  1.8588950E+012  8.7253272E-001  1.1916828E+016    8.0860280E+009  5.0033097E+002    0.0000000E+000  1.7814131E+019  0.0000000E+000  0.0000000E+000
  225   1.2429363E+004  2.0073107E+012  8.7247367E-001  1.1907316E+016    8.0899369E+009  5.0927729E+002    0.0000000E+000  1.8126470E+019  0.0000000E+000  0.0000000E+000
  223   1.2423998E+004  2.1675761E+012  8.7241462E-001  1.1897808E+016    8.0938492E+009  5.1873894E+002    0.0000000E+000  1.8456770E+019  0.0000000E+000  0.0000000E+000
  221   1.2418633E+004  2.3406371E+012  8.7235558E-001  1.1888304E+016    8.0977648E+009  5.2874760E+002    0.0000000E+000  1.8806117E+019  0.0000000E+000  0.0000000E+000
  219   1.2413268E+004  2.5275155E+012  8.7229654E-001  1.1878805E+016    8.1016838E+009  5.4125648E+002    0.0000000E+000  1.9175701E+019  0.0000000E+000  0.0000000E+000
  217   1.2407886E+004  2.7293145E+012  8.7223731E-001  1.3407417E+016    8.1056183E+009  5.5449552E+002    0.0000000E+000  1.9702358E+019  0.0000000E+000  0.0000000E+000
  215   1.2401164E+004  2.9472252E+012  8.7216274E-001  1.4858347E+016    8.1105437E+009  5.6671519E+002    0.0000000E+000  2.0128592E+019  0.0000000E+000  0.0000000E+000
  213   1.2394441E+004  3.1825341E+012  8.7208818E-001  1.4843429E+016    8.1154743E+009  5.7966420E+002    0.0000000E+000  2.0580103E+019  0.0000000E+000  0.0000000E+000
  211   1.2387718E+004  3.4366303E+012  8.7201362E-001  1.4828518E+016    8.1204102E+009  5.9339584E+002    0.0000000E+000  2.1058710E+019  0.0000000E+000  0.0000000E+000
  209   1.2380995E+004  3.7110137E+012  8.7193907E-001  1.4813615E+016    8.1253515E+009  6.0796892E+002    0.0000000E+000  2.1566419E+019  0.0000000E+000  0.0000000E+000
  207   1.2374272E+004  4.0073041E+012  8.7186453E-001  1.4798720E+016    8.1302981E+009  6.2344844E+002    0.0000000E+000  2.2105447E+019  0.0000000E+000  0.0000000E+000
  205   1.2367549E+004  4.3272505E+012  8.7178999E-001  1.4918058E+016    8.1352499E+009  6.3957653E+002    0.0000000E+000  2.2678241E+019  0.0000000E+000  0.0000000E+000
  203   1.2360501E+004  4.6727418E+012  8.7171146E-001  1.5930288E+016    8.1404510E+009  6.5743766E+002    0.0000000E+000  2.3287781E+019  0.0000000E+000  0.0000000E+000
  201   1.2353249E+004  5.0458174E+012  8.7163044E-001  1.5912945E+016    8.1458105E+009  6.7611358E+002    0.0000000E+000  2.3936982E+019  0.0000000E+000  0.0000000E+000
  199   1.2345997E+004  5.4486796E+012  8.7154943E-001  1.5895613E+016    8.1511761E+009  6.9603381E+002    0.0000000E+000  2.4629004E+019  0.0000000E+000  0.0000000E+000
  197   1.2338745E+004  5.8837067E+012  8.7146843E-001  1.5878290E+016    8.1565481E+009  7.1741451E+002    0.0000000E+000  2.5367535E+019  0.0000000E+000  0.0000000E+000
  195   1.2331494E+004  6.3534667E+012  8.7138743E-001  1.5860977E+016    8.1619263E+009  7.4085601E+002    0.0000000E+000  2.6164373E+019  0.0000000E+000  0.0000000E+000
  193   1.2324242E+004  6.8607327E+012  8.7130644E-001  1.5843673E+016    8.1673107E+009  7.6439743E+002    0.0000000E+000  2.7049567E+019  0.0000000E+000  0.0000000E+000
  191   1.2315723E+004  7.4084993E+012  8.7121086E-001  2.1520435E+016    8.1736479E+009  7.9391315E+002    0.0000000E+000  2.8000330E+019  0.0000000E+000  0.0000000E+000
  189   1.2305783E+004  8.0000000E+012  8.7109891E-001  2.1657762E+016    8.1810582E+009  8.2348576E+002    0.0000000E+000  2.9023148E+019  0.0000000E+000  0.0000000E+000
