#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.450E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  223   1.2345466E+004  2.1675761E+012  8.4350795E-001  1.0351794E+016    8.0697716E+009  3.9728826E+002    0.0000000E+000  1.8434585E+019  0.0000000E+000  0.0000000E+000
  221   1.2340799E+004  2.3406371E+012  8.4344312E-001  1.0555108E+016    8.0727433E+009  4.0490680E+002    0.0000000E+000  1.8782645E+019  0.0000000E+000  0.0000000E+000
  219   1.2336132E+004  2.5275155E+012  8.4337828E-001  1.0547894E+016    8.0757171E+009  4.1446197E+002    0.0000000E+000  1.9150891E+019  0.0000000E+000  0.0000000E+000
  217   1.2331464E+004  2.7293145E+012  8.4331345E-001  1.0540683E+016    8.0786928E+009  4.2452077E+002    0.0000000E+000  1.9676215E+019  0.0000000E+000  0.0000000E+000
  215   1.2326797E+004  2.9472252E+012  8.4324863E-001  1.0533474E+016    8.0816705E+009  4.3380639E+002    0.0000000E+000  2.0100021E+019  0.0000000E+000  0.0000000E+000
  213   1.2322130E+004  3.1825341E+012  8.4318381E-001  1.0526268E+016    8.0846502E+009  4.4364764E+002    0.0000000E+000  2.0549005E+019  0.0000000E+000  0.0000000E+000
  211   1.2317463E+004  3.4366303E+012  8.4311900E-001  1.0519065E+016    8.0876319E+009  4.5408514E+002    0.0000000E+000  2.1024981E+019  0.0000000E+000  0.0000000E+000
  209   1.2312796E+004  3.7110137E+012  8.4305419E-001  1.0938473E+016    8.0906156E+009  4.6512374E+002    0.0000000E+000  2.1529949E+019  0.0000000E+000  0.0000000E+000
  207   1.2307725E+004  4.0073041E+012  8.4298336E-001  1.1468799E+016    8.0938637E+009  4.7693860E+002    0.0000000E+000  2.2066400E+019  0.0000000E+000  0.0000000E+000
  205   1.2302629E+004  4.3272505E+012  8.4291216E-001  1.1460204E+016    8.0971304E+009  4.8945710E+002    0.0000000E+000  2.2636524E+019  0.0000000E+000  0.0000000E+000
  203   1.2297533E+004  4.6727418E+012  8.4284097E-001  1.1451612E+016    8.1003994E+009  5.0278175E+002    0.0000000E+000  2.3243008E+019  0.0000000E+000  0.0000000E+000
  201   1.2292437E+004  5.0458174E+012  8.4276979E-001  1.1443023E+016    8.1036709E+009  5.1697973E+002    0.0000000E+000  2.3888842E+019  0.0000000E+000  0.0000000E+000
  199   1.2287341E+004  5.4486796E+012  8.4269862E-001  1.1434438E+016    8.1069447E+009  5.3212556E+002    0.0000000E+000  2.4577344E+019  0.0000000E+000  0.0000000E+000
  197   1.2282245E+004  5.8837067E+012  8.4262744E-001  1.1425857E+016    8.1102209E+009  5.4687076E+002    0.0000000E+000  2.5312197E+019  0.0000000E+000  0.0000000E+000
  195   1.2276236E+004  6.3534667E+012  8.4254321E-001  1.5677525E+016    8.1140907E+009  5.6623289E+002    0.0000000E+000  2.6105915E+019  0.0000000E+000  0.0000000E+000
  193   1.2269163E+004  6.8607327E+012  8.4244376E-001  1.5829508E+016    8.1186528E+009  5.8569097E+002    0.0000000E+000  2.6988731E+019  0.0000000E+000  0.0000000E+000
  191   1.2262089E+004  7.4084993E+012  8.4234433E-001  1.5812949E+016    8.1232196E+009  6.0658248E+002    0.0000000E+000  2.7935800E+019  0.0000000E+000  0.0000000E+000
  189   1.2255016E+004  8.0000000E+012  8.4224490E-001  1.5796399E+016    8.1277910E+009  6.2904807E+002    0.0000000E+000  2.8953360E+019  0.0000000E+000  0.0000000E+000
  187   1.2247942E+004  8.6387266E+012  8.4214549E-001  1.5779858E+016    8.1323671E+009  6.5263933E+002    0.0000000E+000  3.0048394E+019  0.0000000E+000  0.0000000E+000
  185   1.2240483E+004  9.3284497E+012  8.4204048E-001  1.8731490E+016    8.1371996E+009  6.7934983E+002    0.0000000E+000  3.1229078E+019  0.0000000E+000  0.0000000E+000
  183   1.2231515E+004  1.0073241E+013  8.4191352E-001  1.9956975E+016    8.1430234E+009  7.0752379E+002    0.0000000E+000  3.2503636E+019  0.0000000E+000  0.0000000E+000
  181   1.2222547E+004  1.0877497E+013  8.4178657E-001  1.9930339E+016    8.1488548E+009  7.3800297E+002    0.0000000E+000  3.3880322E+019  0.0000000E+000  0.0000000E+000
  179   1.2213580E+004  1.1745965E+013  8.4165965E-001  1.9903722E+016    8.1546937E+009  7.7104830E+002    0.0000000E+000  3.5371561E+019  0.0000000E+000  0.0000000E+000
  177   1.2204612E+004  1.2683773E+013  8.4153275E-001  1.9877123E+016    8.1605402E+009  8.0591017E+002    0.0000000E+000  3.6989685E+019  0.0000000E+000  0.0000000E+000
  175   1.2194944E+004  1.3696456E+013  8.4139549E-001  2.3658806E+016    8.1668561E+009  8.4600659E+002    0.0000000E+000  3.8749251E+019  0.0000000E+000  0.0000000E+000
  173   1.2183932E+004  1.4789992E+013  8.4123834E-001  2.4331737E+016    8.1740689E+009  8.8895987E+002    0.0000000E+000  4.0666527E+019  0.0000000E+000  0.0000000E+000
  171   1.2172921E+004  1.5970837E+013  8.4108121E-001  2.4291523E+016    8.1812932E+009  9.3633884E+002    0.0000000E+000  4.2792710E+019  0.0000000E+000  0.0000000E+000
  169   1.2161909E+004  1.7245962E+013  8.4092412E-001  2.4251344E+016    8.1885291E+009  9.8829203E+002    0.0000000E+000  4.5125762E+019  0.0000000E+000  0.0000000E+000
  167   1.2150897E+004  1.8622894E+013  8.4076706E-001  2.4902145E+016    8.1957765E+009  1.0441303E+003    0.0000000E+000  4.7683543E+019  0.0000000E+000  0.0000000E+000
  165   1.2138439E+004  2.0109761E+013  8.4058814E-001  2.9137035E+016    8.2040026E+009  1.1079940E+003    0.0000000E+000  5.0494147E+019  0.0000000E+000  0.0000000E+000
  163   1.2125162E+004  2.1715341E+013  8.4039690E-001  2.9078376E+016    8.2127914E+009  1.1769922E+003    0.0000000E+000  5.3586509E+019  0.0000000E+000  0.0000000E+000
  161   1.2111885E+004  2.3449112E+013  8.4020570E-001  2.9019777E+016    8.2215971E+009  1.2530410E+003    0.0000000E+000  5.6992736E+019  0.0000000E+000  0.0000000E+000
  159   1.2098608E+004  2.5321308E+013  8.4001455E-001  2.8961241E+016    8.2304200E+009  1.3369631E+003    0.0000000E+000  6.0749652E+019  0.0000000E+000  0.0000000E+000
