         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   59   9.268863E+03   7.618573E-01   3.457E+14   1.125E+34   2.018E-01      7.047E-01   4.582E-01   7.642E-01   1.768E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.960E+08   7.526E+08   1.000E+00   00000   8.093E-01   6.620E-01  3p2   N/A    N/A    N/A 
   60   9.320937E+03   7.716050E-01   3.425E+14   1.093E+34   2.000E-01      7.012E-01   4.528E-01   7.592E-01   1.763E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.947E+08   8.612E+08   1.000E+00   00000   8.131E-01   6.640E-01  3p2   N/A    N/A    N/A 
   61   9.372435E+03   7.812450E-01   3.394E+14   1.061E+34   1.982E-01      6.978E-01   4.474E-01   7.544E-01   1.759E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.932E+08   9.608E+08   1.000E+00   00000   8.169E-01   6.661E-01  3p2   N/A    N/A    N/A 
   62   9.423373E+03   7.907802E-01   3.363E+14   1.030E+34   1.965E-01      6.943E-01   4.420E-01   7.495E-01   1.754E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.916E+08   1.052E+09   1.000E+00   00000   8.207E-01   6.681E-01  3p2   N/A    N/A    N/A 
   63   9.473766E+03   8.002133E-01   3.332E+14   9.993E+33   1.948E-01      6.909E-01   4.367E-01   7.448E-01   1.749E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.898E+08   1.137E+09   1.000E+00   00000   8.245E-01   6.701E-01  3p2   N/A    N/A    N/A 
   64   9.523629E+03   8.095471E-01   3.302E+14   9.688E+33   1.930E-01      6.875E-01   4.313E-01   7.400E-01   1.745E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.878E+08   1.215E+09   1.000E+00   00000   8.282E-01   6.721E-01  3p2   N/A    N/A    N/A 
   65   9.572975E+03   8.188270E-01   3.270E+14   9.404E+33   1.912E-01      6.839E-01   4.255E-01   7.349E-01   1.740E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.855E+08   1.293E+09   1.000E+00   00000   8.322E-01   6.742E-01  3p2   N/A    N/A    N/A 
   66   9.621818E+03   8.280462E-01   3.236E+14   9.136E+33   1.893E-01      6.801E-01   4.193E-01   7.295E-01   1.734E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.829E+08   1.371E+09   1.000E+00   00000   8.364E-01   6.765E-01  3p2   N/A    N/A    N/A 
   67   9.670170E+03   8.371727E-01   3.202E+14   8.872E+33   1.874E-01      6.763E-01   4.131E-01   7.242E-01   1.729E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.800E+08   1.444E+09   1.000E+00   00000   8.406E-01   6.788E-01  3p2   N/A    N/A    N/A 
   68   9.718042E+03   8.462087E-01   3.169E+14   8.610E+33   1.855E-01      6.725E-01   4.068E-01   7.188E-01   1.724E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.769E+08   1.515E+09   1.000E+00   00000   8.447E-01   6.810E-01  3p2   N/A    N/A    N/A 
   69   9.765448E+03   8.551566E-01   3.136E+14   8.351E+33   1.836E-01      6.687E-01   4.006E-01   7.136E-01   1.718E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.737E+08   1.584E+09   1.000E+00   00000   8.489E-01   6.833E-01  3p2   N/A    N/A    N/A 
   70   9.812398E+03   8.640185E-01   3.103E+14   8.094E+33   1.818E-01      6.650E-01   3.943E-01   7.083E-01   1.713E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.702E+08   1.651E+09   1.000E+00   00000   8.530E-01   6.855E-01  3p2   N/A    N/A    N/A 
   71   9.858903E+03   8.727964E-01   3.071E+14   7.839E+33   1.799E-01      6.613E-01   3.880E-01   7.031E-01   1.708E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.665E+08   1.716E+09   1.000E+00   00000   8.571E-01   6.878E-01  3p2   N/A    N/A    N/A 
   72   9.904973E+03   8.814923E-01   3.039E+14   7.587E+33   1.781E-01      6.576E-01   3.817E-01   6.979E-01   1.702E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.626E+08   1.780E+09   1.000E+00   00000   8.611E-01   6.900E-01  3p2   N/A    N/A    N/A 
   73   9.950619E+03   8.901081E-01   3.007E+14   7.338E+33   1.763E-01      6.539E-01   3.753E-01   6.927E-01   1.697E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.585E+08   1.843E+09   1.000E+00   00000   8.652E-01   6.923E-01  3p2   N/A    N/A    N/A 
   74   9.995850E+03   8.986454E-01   2.976E+14   7.090E+33   1.745E-01      6.502E-01   3.689E-01   6.876E-01   1.692E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.542E+08   1.904E+09   1.000E+00   00000   8.692E-01   6.945E-01  3p2   N/A    N/A    N/A 
   75   1.004067E+04   9.071062E-01   2.945E+14   6.845E+33   1.727E-01      6.465E-01   3.624E-01   6.824E-01   1.686E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.497E+08   1.965E+09   1.000E+00   00000   8.731E-01   6.967E-01  3p2   N/A    N/A    N/A 
   76   1.008510E+04   9.154921E-01   2.914E+14   6.602E+33   1.710E-01      6.429E-01   3.558E-01   6.774E-01   1.681E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.451E+08   2.025E+09   1.000E+00   00000   8.771E-01   6.989E-01  3p2   N/A    N/A    N/A 
   77   1.012914E+04   9.238048E-01   2.884E+14   6.361E+33   1.692E-01      6.393E-01   3.492E-01   6.723E-01   1.676E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.402E+08   2.084E+09   1.000E+00   00000   8.810E-01   7.012E-01  3p2   N/A    N/A    N/A 
   78   1.017280E+04   9.318480E-01   2.850E+14   6.146E+33   1.673E-01      6.352E-01   3.418E-01   6.666E-01   1.670E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.345E+08   2.149E+09   1.000E+00   00000   8.854E-01   7.036E-01  3p2   N/A    N/A    N/A 
